idx,x,y,z
180,1.3721087,-0.7396198,2.2640443
181,1.474773,-0.71863115,2.3169975
182,1.3718112,-0.7387519,2.2629838
183,1.475705,-0.71842927,2.3173394
184,1.3699627,-0.738675,2.2640378
185,1.4756651,-0.7246147,2.3196864
186,1.3706095,-0.7397498,2.2643218
187,1.4759412,-0.72290885,2.3190832
188,1.371871,-0.7404426,2.265592
189,1.4773393,-0.7196243,2.3189204
190,1.3721412,-0.7409711,2.266417
191,1.4776604,-0.7193659,2.319634
192,1.3704803,-0.7391788,2.2671502
193,1.3710093,-0.74007463,2.266663
194,1.4803158,-0.7293475,2.322618
195,1.3717808,-0.73957425,2.2662966
196,1.479434,-0.7246774,2.3198922
197,1.3721681,-0.74052614,2.2666602
198,1.4776862,-0.7235472,2.318388
199,1.3685806,-0.74145854,2.2663894
200,1.4764926,-0.73486173,2.3150318
201,1.3617344,-0.73122036,2.261991
202,1.4765546,-0.7329288,2.3134344
203,1.3614802,-0.73368853,2.2620864
204,1.476464,-0.73113215,2.3118515
205,1.3620753,-0.73610103,2.261279
206,1.4764891,-0.7286344,2.3111289
207,1.3619714,-0.7374244,2.2613544
208,1.4761697,-0.72866136,2.3085933
209,1.3630023,-0.73702526,2.2616541
210,1.4751995,-0.73280424,2.3087375
211,1.3619967,-0.7358404,2.2609468
212,1.476582,-0.7310729,2.307847
213,1.361563,-0.73625207,2.2603092
214,1.4778041,-0.73147446,2.3093593
215,1.3608643,-0.7369027,2.2594001
216,1.4789516,-0.7279835,2.3089266
217,1.361751,-0.73760426,2.2596426
218,1.4796582,-0.72663325,2.3087137
219,1.3609865,-0.7375936,2.2598524
220,1.4790068,-0.7299956,2.3096223
221,1.360599,-0.73670906,2.2601402
222,1.4794321,-0.729418,2.3098595
223,1.360572,-0.73711485,2.2599494
224,1.4802088,-0.7266255,2.3095865
225,1.3615944,-0.7374344,2.2596903
226,1.4797419,-0.7271954,2.309846
227,1.3618131,-0.736989,2.2596319
228,1.4798448,-0.7290121,2.311254
229,1.362057,-0.7373611,2.2602308
230,1.4785075,-0.72598976,2.309794
231,1.3624508,-0.7370853,2.2603245
232,1.477258,-0.72256464,2.3094845
233,1.3624808,-0.7364835,2.2601812
234,1.4783975,-0.7227824,2.3109534
235,1.3622528,-0.7365127,2.259943
236,1.4792604,-0.7233171,2.3113928
237,1.362565,-0.7362413,2.2590613
238,1.4800564,-0.7233739,2.3111005
239,1.3630319,-0.73608637,2.2586908
240,1.4809303,-0.7237787,2.3122654
241,1.3630967,-0.73600274,2.258648
242,1.4837765,-0.7228326,2.316883
243,1.3637035,-0.73592776,2.2587636
244,1.4852369,-0.72121763,2.3183866
245,1.3636208,-0.7358895,2.2587075
246,1.4866692,-0.72202474,2.3178444
247,1.3628932,-0.7361089,2.2590592
248,1.4879628,-0.7219931,2.3179176
249,1.3628706,-0.736081,2.2591279
250,1.4858665,-0.7209418,2.3169198
251,1.3646154,-0.7364148,2.2590652
252,1.4837534,-0.72138405,2.31555
253,1.365217,-0.7363539,2.2589822
254,1.4853737,-0.72207224,2.316768
255,1.3649185,-0.7361934,2.258947
256,1.4859829,-0.7251418,2.3162975
257,1.3639407,-0.7360244,2.2586548
258,1.4860113,-0.7239711,2.3163195
259,1.3641504,-0.7358922,2.2584543
260,1.4858575,-0.72382903,2.3168993
261,1.3649321,-0.73574704,2.2587323
262,1.4839728,-0.722885,2.3155348
263,1.3651078,-0.73590285,2.2591305
264,1.4851055,-0.7238145,2.315365
265,1.3659561,-0.7362778,2.2591276
266,1.4864129,-0.72482306,2.3159447
267,1.3669124,-0.736407,2.258935
268,1.4847655,-0.7233883,2.3153036
269,1.3665327,-0.73688537,2.258887
270,1.4860141,-0.7236206,2.3163354
271,1.3656051,-0.737461,2.2589736
272,1.4858388,-0.7246804,2.315868
273,1.3648714,-0.7372954,2.2591794
274,1.4866754,-0.7270914,2.3154907
275,1.3652083,-0.73665583,2.2590332
276,1.4869219,-0.72604215,2.3153753
277,1.3659103,-0.73647606,2.2584941
278,1.4847665,-0.7235259,2.3136656
279,1.3671005,-0.7368028,2.2588727
280,1.4860051,-0.7230513,2.3131566
281,1.369098,-0.7364309,2.259517
