idx,x,y,z
212,-0.95808476,-1.0088104,2.9467263
213,-0.9586471,-1.0086616,2.9471543
214,-0.95881534,-1.0090604,2.947009
215,-0.9589715,-1.008925,2.9475043
216,-0.9590447,-1.0081593,2.9473855
217,-0.95968705,-1.0087692,2.9476607
218,-0.96000135,-1.0094129,2.9481423
219,-0.9596106,-1.0098885,2.9477377
220,-0.9598283,-1.009599,2.947869
221,-0.9600556,-1.009472,2.9478977
222,-0.960042,-1.0097641,2.9472919
223,-0.9606523,-1.0096977,2.9476368
224,-0.9608917,-1.0094815,2.9475908
225,-0.96063,-1.0097225,2.947486
226,-0.96036893,-1.0097517,2.947688
227,-0.9600388,-1.0097656,2.9477015
228,-0.95991296,-1.0096856,2.9476228
229,-0.96024394,-1.0094604,2.9479342
230,-0.9602824,-1.0092263,2.9485247
231,-0.95972,-1.0094826,2.9485877
232,-0.9602279,-1.0093691,2.9489303
233,-0.9607696,-1.0090454,2.9486191
234,-0.96079093,-1.009319,2.9478326
235,-0.96067095,-1.0089406,2.9475474
236,-0.96086144,-1.009335,2.947809
237,-0.96069765,-1.0097897,2.9480264
238,-0.9605174,-1.0096002,2.9479356
239,-0.9601259,-1.0094632,2.9479148
240,-0.960317,-1.0092298,2.9479735
241,-0.9602176,-1.0091487,2.947803
242,-0.9598787,-1.0091784,2.9474843
243,-0.9598144,-1.0096471,2.9473584
244,-0.9601238,-1.0093628,2.9467146
245,-0.9602388,-1.0095129,2.9463766
246,-0.96037304,-1.0097269,2.9463997
247,-0.96084154,-1.0092067,2.9468005
248,-0.9605104,-1.0094793,2.9465766
249,-0.96050125,-1.009305,2.9466372
250,-0.96030027,-1.0090468,2.9466085
251,-0.9599136,-1.0088218,2.9472222
252,-0.9596567,-1.0090363,2.9474392
253,-0.9596449,-1.0091807,2.9477224
254,-0.95986223,-1.009044,2.947802
255,-0.9600029,-1.0089669,2.9477034
256,-0.9600053,-1.0087297,2.94784
257,-0.96017474,-1.0087162,2.9475813
258,-0.9605038,-1.0084283,2.94734
259,-0.9606443,-1.0083498,2.94745
260,-0.96052516,-1.0085143,2.9475887
261,-0.9608229,-1.0084692,2.9479904
262,-0.9607972,-1.008213,2.9482422
263,-0.9605831,-1.008531,2.9481122
264,-0.96102524,-1.0090077,2.9482126
265,-0.9608835,-1.0093246,2.9481978
266,-0.9604876,-1.0092041,2.9479408
267,-0.9604707,-1.0090448,2.947665
268,-0.9611477,-1.0085474,2.9477837
269,-0.9611865,-1.0086442,2.9476306
270,-0.96049595,-1.0085963,2.947578
271,-0.96011984,-1.0085627,2.947358
272,-0.9601696,-1.0086632,2.9473326
273,-0.96021456,-1.0087029,2.9470975
274,-0.96006316,-1.0082221,2.946876
275,-0.9595972,-1.0081847,2.9471326
276,-0.95938814,-1.0083289,2.9469995
277,-0.95941484,-1.0082808,2.9470396
278,-0.9593214,-1.0081244,2.946987
279,-0.95939845,-1.008485,2.947048
280,-0.95941526,-1.0085496,2.946948
281,-0.95951784,-1.0087147,2.9474258
282,-1.0477364,-0.8461587,2.6940475
283,-0.95942247,-1.0084198,2.9474068
284,-1.0488338,-0.84614724,2.6930392
285,-0.95967734,-1.0083869,2.9472232
286,-1.0491246,-0.84677887,2.6930428
287,-0.9596729,-1.0082492,2.9467883
288,-1.0484896,-0.84541583,2.6928067
289,-0.95955133,-1.0078295,2.946476
290,-1.048042,-0.8448511,2.692247
291,-0.95931005,-1.0081644,2.946702
292,-1.0479146,-0.8452673,2.6917653
293,-0.95908463,-1.008482,2.9470024
294,-1.0483091,-0.8453871,2.691155
295,-0.9594219,-1.0077362,2.9477375
296,-1.0481682,-0.8452588,2.6911573
297,-0.9592043,-1.0086366,2.9479775
298,-1.0486084,-0.8450638,2.6911693
299,-0.9595548,-1.0088738,2.948135
300,-1.049184,-0.84480834,2.6917307
301,-0.95924664,-1.0088716,2.9472902
302,-1.0493985,-0.8446934,2.6929097
303,-0.95896596,-1.0085315,2.9468358
304,-0.959134,-1.0080432,2.9468484
305,-0.95918846,-1.0090686,2.9472373
306,-0.9591442,-1.0101007,2.947429
307,0.97177863,-1.0457686,3.7281022
308,0.9634163,-1.0080713,3.6998804
309,1.2283932,-0.9573356,3.5993867
310,1.2282414,-0.9499253,3.5989091
311,0.9666944,-1.0276467,3.7175422
312,1.2320495,-0.9423028,3.6066756
313,1.2373686,-0.9470562,3.611593
314,1.2406867,-0.94756335,3.6178656
315,1.2364388,-0.9535098,3.6135702
316,0.9672102,-0.96817607,3.6773102
317,1.2319914,-0.9524778,3.6080823
318,1.2388004,-0.95881224,3.6185055
319,1.2322553,-0.9599745,3.6078734
320,1.2394445,-0.9660809,3.6231587
321,0.96486014,-1.0258102,3.712247
322,1.2332911,-0.9531409,3.6145487
323,1.2377619,-0.95574385,3.622065
324,0.9712596,-1.0382328,3.7288504
325,1.2395697,-0.965397,3.6220112
326,0.96848,-1.0352879,3.7261
327,1.2404981,-0.9692909,3.6196022
328,0.9639442,-1.0378633,3.721431
329,1.2399182,-0.9703116,3.6204798
330,0.9644333,-1.0410423,3.729537
331,0.9664812,-1.0291406,3.720106
332,0.96454656,-1.0224924,3.7092998
333,0.9648725,-1.0299212,3.7181687
334,1.2292761,-0.96842194,3.608431
335,1.2400161,-0.96805537,3.6232052
336,1.2351882,-0.97261727,3.6122768
337,0.966627,-1.0303485,3.7218456
338,1.2353044,-0.9718876,3.6129246
