idx,x,y,z
66,0.2009878,-0.7594279,1.6354109
67,0.5658219,-0.7802567,1.9373788
68,0.19866745,-0.7619494,1.6354802
69,0.56755865,-0.78315425,1.9361632
70,0.20162502,-0.75742406,1.6318477
71,0.5679475,-0.7835061,1.9352778
72,0.5680971,-0.7847868,1.9345995
73,0.21436284,-0.75914687,1.6243688
74,0.56845456,-0.78511596,1.9337194
75,0.21507959,-0.76605475,1.6233599
76,0.5691153,-0.7864204,1.9316858
77,0.5699416,-0.7911171,1.9308646
78,0.596062,-0.75759745,1.8730814
79,0.5956006,-0.7550771,1.8783381
80,0.021551924,-0.7774605,2.0441577
81,0.019029696,-0.7821183,2.0477326
82,0.013344637,-0.792801,2.0689635
83,0.012210036,-0.7954192,2.0720015
84,0.011283505,-0.79615563,2.0741625
85,0.01009796,-0.7926907,2.0761867
86,0.052260894,-0.7357333,2.5666437
87,0.05355928,-0.735682,2.5666502
88,-0.4789203,-0.74715096,2.5755682
89,-0.48328584,-0.74146175,2.595913
90,-0.48311517,-0.74119174,2.5954685
91,-0.48249316,-0.73615706,2.5981936
92,-0.29356363,-0.6914439,3.0914006
93,-0.29575306,-0.697811,3.0937395
94,-0.29586673,-0.69956374,3.0970492
95,-0.29647622,-0.69496596,3.0975542
96,-0.29794422,-0.6934085,3.0985026
97,-0.5907534,-0.71475947,2.7984765
98,-0.29795995,-0.69656086,3.0988376
99,-0.5892268,-0.71415305,2.799269
100,-0.29774952,-0.6910635,3.096383
101,-0.59105563,-0.7177093,2.7997324
102,-0.29360986,-0.68904006,3.09029
103,-0.5946869,-0.70687294,2.8080688
104,-0.59510195,-0.7051702,2.8094819
105,-0.26876163,-0.70326006,3.044591
106,-0.59473705,-0.7028395,2.8101017
107,-0.27107003,-0.70323706,3.0488281
108,-0.59513444,-0.7048149,2.8124988
109,-0.27376887,-0.70033693,3.0520983
110,-0.5946315,-0.7057335,2.8173034
111,-0.27470762,-0.7009507,3.053322
112,-0.5946937,-0.70023036,2.8183038
113,-0.27436036,-0.70345205,3.0527494
114,-0.59542507,-0.7074865,2.8164067
115,-0.2730433,-0.7047639,3.0513906
116,-0.5949477,-0.7032989,2.815807
117,-0.27322882,-0.7023088,3.0518835
118,-0.5942837,-0.70032024,2.8144085
119,-0.27216446,-0.7044583,3.0508513
120,-0.5942464,-0.7024481,2.8154933
121,-0.27245718,-0.7057263,3.050893
122,-0.59466463,-0.70614344,2.8191853
123,-0.27292705,-0.70509535,3.0511146
124,-0.5936562,-0.7039545,2.8179455
125,-0.27321637,-0.704545,3.0515528
126,-0.5932053,-0.7050655,2.8147643
127,-0.27257967,-0.70531166,3.0516481
128,-0.59317803,-0.70367026,2.8126938
129,-0.2732094,-0.70487845,3.0533123
130,-0.5943621,-0.70621973,2.8084867
131,-0.26738876,-0.70433146,3.0498664
132,-0.5987802,-0.7147832,2.791266
133,-0.5991502,-0.72083247,2.788391
134,-0.59893775,-0.72315216,2.782395
135,-0.4698815,-0.788814,2.3235097
136,-0.47075605,-0.7856623,2.3210697
137,-0.4690394,-0.7860776,2.3166857
138,-0.4641888,-0.7882283,2.3092122
139,-0.8409056,-0.8324529,1.8829523
140,-0.8419616,-0.8333027,1.8818247
141,-0.8420177,-0.8321096,1.8792093
142,-0.8421806,-0.8341807,1.8777747
143,-0.59658134,-0.83276606,1.9371412
144,-0.5955759,-0.83255154,1.937106
145,-0.9593655,-0.81633866,1.7863401
146,-0.5966984,-0.8313068,1.9356356
147,-0.9580505,-0.8238298,1.7830305
148,-0.59804165,-0.83072907,1.9347086
149,-0.9576504,-0.82700944,1.7820096
150,-0.59775645,-0.83181965,1.9332619
151,-0.95771265,-0.82107383,1.7791221
152,-0.5963912,-0.8323771,1.9321119
153,-0.59510255,-0.8322356,1.9314327
154,-0.95645607,-0.81043935,1.7757267
155,-0.59471136,-0.8318413,1.9315556
156,-0.9556013,-0.8103157,1.7789041
157,-0.5948627,-0.83201724,1.9318453
158,-0.955679,-0.81734073,1.7777352
159,-0.5951162,-0.83224165,1.9317043
160,-0.95626056,-0.8155014,1.7771857
161,-0.59528744,-0.83174455,1.9317316
162,-0.95591974,-0.8094397,1.7766194
163,-0.5957751,-0.83136404,1.9320712
164,-0.95524716,-0.8088274,1.777281
165,-0.59547514,-0.8317983,1.9318495
166,-0.9551702,-0.81293494,1.77633
167,-0.5953096,-0.831542,1.9318873
168,-0.9556426,-0.80891705,1.7750127
169,-0.5938634,-0.83118474,1.9312452
170,-0.9590795,-0.80566484,1.7734318
171,-0.5939323,-0.8298488,1.931721
172,-0.59468687,-0.8312884,1.9313439
173,-0.95944357,-0.8076993,1.7824001
174,-0.5947569,-0.83303905,1.9322683
175,-0.9582596,-0.80572754,1.78459
176,-0.5946616,-0.8328868,1.9311738
177,-0.95949644,-0.80021715,1.7829537
178,-0.59454054,-0.8338347,1.9315718
179,-0.9600897,-0.80214703,1.7844244
180,-0.5942108,-0.8334094,1.9310124
181,-0.9592649,-0.8041307,1.7859184
182,-0.59401995,-0.8325851,1.9301548
183,-0.95850015,-0.79941326,1.7876496
184,-0.59404576,-0.83226275,1.9299837
185,-0.9587391,-0.79405415,1.785738
